ticker,name,market,locale,primary_exchange,type,active,currency_name,cik,composite_figi,share_class_figi,last_updated_utc
A,"Agilent Technologies Inc.",stocks,us,XNYS,CS,true,usd,0001090872,BBG000C2V3D6,BBG001SCTQY4,2025-12-31T07:06:03.486725437Z
AA,"Alcoa Corporation",stocks,us,XNYS,CS,true,usd,0001675149,BBG00B3T3HD3,BBG00B3T3HF1,2025-12-31T07:06:03.486726138Z
AAA,"Alternative Access First Priority CLO Bond ETF",stocks,us,ARCX,ETF,true,usd,0001776878,BBG01B0JRCS6,BBG01B0JRCT5,2025-12-31T07:06:03.486726238Z
AAAA,"Amplius Aggressive Asset Allocation ETF",stocks,us,BATS,ETF,true,usd,,BBG01W275XX6,BBG01W275ZB5,2025-12-31T07:06:03.486726589Z
AAAC,"Columbia AAA CLO ETF",stocks,us,ARCX,ETF,true,usd,0001551950,BBG01YZNRVY0,BBG01YZNRWV1,2025-12-31T07:06:03.486726689Z
AAAU,"Goldman Sachs Physical Gold ETF Shares",stocks,us,BATS,ETF,true,usd,0001708646,BBG00LPXX872,BBG00LPXX8Z1,2025-12-31T07:06:03.486726799Z
AACB,"Artius II Acquisition Inc. Class A Ordinary Shares",stocks,us,XNAS,CS,true,usd,0002034334,,,2025-12-31T07:06:03.4867269Z
AACBR,"Artius II Acquisition Inc. Rights",stocks,us,XNAS,RIGHT,true,usd,0002034334,,,2025-12-31T07:06:03.486727Z
AACBU,"Artius II Acquisition Inc. Units",stocks,us,XNAS,UNIT,true,usd,0002034334,,,2025-12-31T07:06:03.48672736Z
AACG,"ATA Creativity Global American Depositary Shares",stocks,us,XNAS,ADRC,true,usd,0001420529,BBG000V2S3P6,BBG001T125S9,2025-12-31T07:06:03.486727471Z
AADR,"AdvisorShares Dorsey Wright ADR ETF",stocks,us,XNAS,ETF,true,usd,0001408970,BBG000BDYRW6,BBG001T9B1Y4,2025-12-31T07:06:03.486727571Z
AAEQ,"Alpha Architect US Equity 2 ETF",stocks,us,XNAS,ETF,true,usd,,BBG01YY0GN44,BBG01YY0GP12,2025-12-31T07:06:03.486727661Z
AAL,"American Airlines Group Inc.",stocks,us,XNAS,CS,true,usd,0000006201,BBG005P7Q881,BBG005P7Q907,2025-12-31T07:06:03.486727761Z
AALG,"Leverage Shares 2X Long AAL Daily ETF",stocks,us,XNAS,ETF,true,usd,0001976322,BBG01VH49P35,BBG01VH49Q06,2025-12-31T07:06:03.486727861Z
AAM,"AA Mission Acquisition Corp.",stocks,us,XNYS,CS,true,usd,0002012964,,,2025-12-31T07:06:03.486727962Z
AAM.U,"AA Mission Acquisition Corp. Units, each consisting of one Class A Ordinary Share and one-half of one redeemable warrant",stocks,us,XNYS,UNIT,true,usd,0002012964,,,2025-12-31T07:06:03.486728062Z
AAM.WS,"AA Mission Acquisition Corp. Warrants, each whole warrant entitles the holder to purchase one Class A ordinary share at a price of $11.50 per share",stocks,us,XNYS,WARRANT,true,usd,0002012964,,,2025-12-31T07:06:03.486728282Z
AAME,"Atlantic American Corp",stocks,us,XNAS,CS,true,usd,0000008177,BBG000B9XB24,BBG001S5N8T1,2025-12-31T07:06:03.486728382Z
AAMI,"Acadian Asset Management Inc.",stocks,us,XNYS,CS,true,usd,0001748824,BBG00P2HLNY3,BBG00P2HLNZ2,2025-12-31T07:06:03.486728483Z
AAOI,"Applied Optoelectronics, Inc.",stocks,us,XNAS,CS,true,usd,0001158114,BBG000D6VW15,BBG001SG47G4,2025-12-31T07:06:03.486728723Z
AAON,"Aaon Inc",stocks,us,XNAS,CS,true,usd,0000824142,BBG000C2LZP3,BBG001S6CZK0,2025-12-31T07:06:03.486728943Z
AAP,"ADVANCE AUTO PARTS INC",stocks,us,XNYS,CS,true,usd,0001158449,BBG000F7RCJ1,BBG001SD2SB2,2025-12-31T07:06:03.486729044Z
AAPB,"GraniteShares ETF Trust GraniteShares 2x Long AAPL Daily ETF",stocks,us,XNAS,ETF,true,usd,0001689873,BBG0193F21N2,BBG0193F22H7,2025-12-31T07:06:03.486729324Z
AAPD,"Direxion Daily AAPL Bear 1X Shares",stocks,us,XNAS,ETF,true,usd,,BBG0193YGJ57,BBG0193YGK09,2025-12-31T07:06:03.486729424Z
